caption_sentence,cleaned_tokens
"[Music] The morning after the heavy rains, the The morning after the heavy rains, the The morning after the heavy rains, the zebra start to arrive.","['music', 'morning', 'heavy', 'rain', 'morning', 'heavy', 'rain', 'morning', 'heavy', 'rain', 'zebra', 'start', 'arrive']"
zebra start to arrive.,"['zebra', 'start', 'arrive']"
zebra start to arrive.,"['zebra', 'start', 'arrive']"
Janet's family is the first to be seen Janet's family is the first to be seen Janet's family is the first to be seen by the team.,"['janets', 'family', 'first', 'seen', 'janets', 'family', 'first', 'seen', 'janets', 'family', 'first', 'seen', 'team']"
She was the first zebra ever recorded to She was the first zebra ever recorded to She was the first zebra ever recorded to make this migration.,"['first', 'zebra', 'ever', 'recorded', 'first', 'zebra', 'ever', 'recorded', 'first', 'zebra', 'ever', 'recorded', 'make', 'migration']"
"And once again, make this migration.","['make', 'migration']"
"And once again, make this migration.","['make', 'migration']"
"And once again, she's arrived just in time to enjoy the she's arrived just in time to enjoy the she's arrived just in time to enjoy the tender new grass shoots.","['shes', 'arrived', 'time', 'enjoy', 'shes', 'arrived', 'time', 'enjoy', 'shes', 'arrived', 'time', 'enjoy', 'tender', 'new', 'grass', 'shoot']"
tender new grass shoots.,"['tender', 'new', 'grass', 'shoot']"
tender new grass shoots.,"['tender', 'new', 'grass', 'shoot']"
"[Music] [Music] [Music] In Chobi, Janet was part of a large In Chobi, Janet was part of a large In Chobi, Janet was part of a large family group of 15, but now there seems family group of 15, but now there seems family group of 15, but now there seems to be only five.","['music', 'music', 'music', 'chobi', 'janet', 'part', 'large', 'chobi', 'janet', 'part', 'large', 'chobi', 'janet', 'part', 'large', 'family', 'group', 'seems', 'family', 'group', 'seems', 'family', 'group', 'seems', 'five']"
"Hopefully, the rest of her haven't Hopefully, the rest of her haven't Hopefully, the rest of her haven't succumbed to exhaustion or predation.","['hopefully', 'rest', 'havent', 'hopefully', 'rest', 'havent', 'hopefully', 'rest', 'havent', 'succumbed', 'exhaustion', 'predation']"
"[Music] [Music] [Music] &gt;&gt; Soon, all the other families are pouring &gt;&gt; Soon, all the other families are pouring &gt;&gt; Soon, all the other families are pouring into the park.","['music', 'music', 'music', 'gtgt', 'soon', 'family', 'pouring', 'gtgt', 'soon', 'family', 'pouring', 'gtgt', 'soon', 'family', 'pouring', 'park']"
The next collared female to arrive is The next collared female to arrive is The next collared female to arrive is Spirit.,"['next', 'collared', 'female', 'arrive', 'next', 'collared', 'female', 'arrive', 'next', 'collared', 'female', 'arrive', 'spirit']"
She was pregnant when she set off with She was pregnant when she set off with She was pregnant when she set off with the others.,"['pregnant', 'set', 'pregnant', 'set', 'pregnant', 'set', 'others']"
"We'll never know what happened to that We'll never know what happened to that We'll never know what happened to that foe, but it looks like her family have foe, but it looks like her family have foe, but it looks like her family have had a close call with predators.","['well', 'never', 'know', 'happened', 'well', 'never', 'know', 'happened', 'well', 'never', 'know', 'happened', 'foe', 'look', 'like', 'family', 'foe', 'look', 'like', 'family', 'foe', 'look', 'like', 'family', 'close', 'call', 'predator']"
Fresh wounds on three of the zebra in Fresh wounds on three of the zebra in Fresh wounds on three of the zebra in this group are the unmistakable marks this group are the unmistakable marks this group are the unmistakable marks left by lions.,"['fresh', 'wound', 'three', 'zebra', 'fresh', 'wound', 'three', 'zebra', 'fresh', 'wound', 'three', 'zebra', 'group', 'unmistakable', 'mark', 'group', 'unmistakable', 'mark', 'group', 'unmistakable', 'mark', 'left', 'lion']"
left by lions.,"['left', 'lion']"
left by lions.,"['left', 'lion']"
And one young foe looks to have had a And one young foe looks to have had a And one young foe looks to have had a very narrow escape.,"['one', 'young', 'foe', 'look', 'one', 'young', 'foe', 'look', 'one', 'young', 'foe', 'look', 'narrow', 'escape']"
"Following the failure of Sock's GPS Following the failure of Sock's GPS Following the failure of Sock's GPS collar, the team doesn't know if she's collar, the team doesn't know if she's collar, the team doesn't know if she's made it to NIPAN or not.","['following', 'failure', 'sock', 'gps', 'following', 'failure', 'sock', 'gps', 'following', 'failure', 'sock', 'gps', 'collar', 'team', 'doesnt', 'know', 'shes', 'collar', 'team', 'doesnt', 'know', 'shes', 'collar', 'team', 'doesnt', 'know', 'shes', 'made', 'nipan']"
But although made it to NIPAN or not.,"['although', 'made', 'nipan']"
But although made it to NIPAN or not.,"['although', 'made', 'nipan']"
"But although the GPS part of her collar is no longer the GPS part of her collar is no longer the GPS part of her collar is no longer working, it may still be transmitting a working, it may still be transmitting a working, it may still be transmitting a VHF radio signal.","['although', 'gps', 'part', 'collar', 'longer', 'gps', 'part', 'collar', 'longer', 'gps', 'part', 'collar', 'longer', 'working', 'may', 'still', 'transmitting', 'working', 'may', 'still', 'transmitting', 'working', 'may', 'still', 'transmitting', 'vhf', 'radio', 'signal']"
"On the ground, its range is just a few On the ground, its range is just a few On the ground, its range is just a few kilometers, but from the air, it's more kilometers, but from the air, it's more kilometers, but from the air, it's more like 40, like 40, like 40, which gives the team a chance to check which gives the team a chance to check which gives the team a chance to check if she's here in Nipan.","['ground', 'range', 'ground', 'range', 'ground', 'range', 'kilometer', 'air', 'kilometer', 'air', 'kilometer', 'air', 'like', 'like', 'like', 'give', 'team', 'chance', 'check', 'give', 'team', 'chance', 'check', 'give', 'team', 'chance', 'check', 'shes', 'nipan']"
"Even so, in an area of 15,000 km, it's Even so, in an area of 15,000 km, it's Even so, in an area of 15,000 km, it's like looking for a needle in a haystack.","['even', 'area', 'even', 'area', 'even', 'area', 'like', 'looking', 'needle', 'haystack']"
like looking for a needle in a haystack.,"['like', 'looking', 'needle', 'haystack']"
like looking for a needle in a haystack.,"['like', 'looking', 'needle', 'haystack']"
"[Music] Eventually, they do pick up a faint Eventually, they do pick up a faint Eventually, they do pick up a faint signal.","['music', 'eventually', 'pick', 'faint', 'eventually', 'pick', 'faint', 'eventually', 'pick', 'faint', 'signal']"
It's socks.,['sock']
"After flying in a search pattern, they After flying in a search pattern, they After flying in a search pattern, they home in on her exact location.","['flying', 'search', 'pattern', 'flying', 'search', 'pattern', 'flying', 'search', 'pattern', 'home', 'exact', 'location']"
home in on her exact location.,"['home', 'exact', 'location']"
home in on her exact location.,"['home', 'exact', 'location']"
[Music] Socks has made it.,"['music', 'sock', 'made']"
"The last time she was spotted, she was The last time she was spotted, she was The last time she was spotted, she was traveling with just two other zebra.","['last', 'time', 'spotted', 'last', 'time', 'spotted', 'last', 'time', 'spotted', 'traveling', 'two', 'zebra']"
Now she's in a group of 10.,"['shes', 'group']"
"Socks appears to be in good condition Socks appears to be in good condition Socks appears to be in good condition [Music] [Music] [Music] and she's in the company of a stallion, and she's in the company of a stallion, and she's in the company of a stallion, but there is no sign of her having a but there is no sign of her having a but there is no sign of her having a foe.","['sock', 'appears', 'good', 'condition', 'sock', 'appears', 'good', 'condition', 'sock', 'appears', 'good', 'condition', 'music', 'music', 'music', 'shes', 'company', 'stallion', 'shes', 'company', 'stallion', 'shes', 'company', 'stallion', 'sign', 'sign', 'sign', 'foe']"
foe.,['foe']
foe.,['foe']
Then something moves in the long grass.,"['something', 'move', 'long', 'grass']"
"[Music] Her new fo is so small it must have been Her new fo is so small it must have been Her new fo is so small it must have been born in the last day or two, just in born in the last day or two, just in born in the last day or two, just in time for socks to feed on the nutritious time for socks to feed on the nutritious time for socks to feed on the nutritious new grass and provide it with the best new grass and provide it with the best new grass and provide it with the best possible Okay.","['music', 'new', 'small', 'must', 'new', 'small', 'must', 'new', 'small', 'must', 'born', 'last', 'day', 'two', 'born', 'last', 'day', 'two', 'born', 'last', 'day', 'two', 'time', 'sock', 'feed', 'nutritious', 'time', 'sock', 'feed', 'nutritious', 'time', 'sock', 'feed', 'nutritious', 'new', 'grass', 'provide', 'best', 'new', 'grass', 'provide', 'best', 'new', 'grass', 'provide', 'best', 'possible', 'okay']"
